ssr_weight,production_per_person_weight,spearman_country_rank_vs_50_50,margin_min_category1_minus_max_category2,margin_min_category2_minus_max_category3,margin_min_flexible1_minus_max_category3,margin_min_category1_minus_max_flexible2,all_category_constraints_pass
0.38,0.62,0.9825342145569064,0.022758620689655062,-0.49586206896551727,0.3217241379310345,-0.0475862068965518,False
0.39,0.61,0.9829792028787165,0.02517241379310331,-0.4962068965517241,0.3229310344827587,-0.047931034482758705,False
0.4,0.6,0.9852041444877675,0.027586206896551668,-0.4965517241379311,0.32413793103448274,-0.0482758620689655,False
0.41,0.5900000000000001,0.9887640510622491,0.030000000000000027,-0.49689655172413805,0.32534482758620675,-0.047758620689655196,False
0.42,0.5800000000000001,0.9900990160276796,0.03241379310344816,-0.4972413793103449,0.326551724137931,-0.04724137931034489,False
0.43,0.5700000000000001,0.993213934280351,0.03482758620689641,-0.49758620689655175,0.3277586206896551,-0.04672413793103458,False
0.44,0.56,0.995438875889402,0.03724137931034477,-0.49793103448275877,0.32896551724137924,-0.046206896551724164,False
0.45,0.55,0.9958838642112122,0.039655172413793016,-0.4982758620689655,0.33017241379310347,-0.04568965517241397,False
0.46,0.54,0.9958838642112122,0.042068965517241375,-0.4986206896551725,0.3313793103448275,-0.04517241379310344,False
0.47,0.53,0.9985537941420735,0.04448275862068951,-0.49896551724137933,0.3325862068965517,-0.04465517241379313,False
0.48,0.52,0.9985537941420735,0.04689655172413787,-0.4993103448275862,0.33379310344827584,-0.044137931034482825,False
0.49,0.51,0.9994437707856938,0.04931034482758612,-0.49965517241379315,0.33499999999999996,-0.04362068965517252,False
0.5,0.5,1.0,0.051724137931034475,-0.5,0.3362068965517241,-0.0431034482758621,False
0.51,0.49,0.999888759107504,0.053448275862068906,-0.5003448275862069,0.3370689655172414,-0.043965517241379315,False
0.52,0.48,0.9994437707856938,0.055172413793103336,-0.5006896551724138,0.3379310344827585,-0.04482758620689664,False
0.53,0.47,0.9994437707856938,0.05689655172413788,-0.5010344827586207,0.33879310344827585,-0.045689655172413746,False
