iso3,country,year,legacy_category,capacity_v2_rank_50_50,capacity_v2_rank_legacy_56_44,capacity_v2_minmax_50_50,ssr_percentile_rank,production_per_person_percentile_rank,arable_land_hectares_per_person,electricity_access_pct,female_agricultural_employment_pct,fertilizer_consumption_kg_per_hectare_arable_land,rural_population_growth_pct,rural_population_pct
BRA,Brazil,2019,category_1,0.879310344827586,0.881338742393509,0.388945104665182,0.896551724137931,0.862068965517241,0.268558852432994,99.8,3.97894696359558,296.983630685286,-1.1169772665822,13.3202008915704
BRA,Brazil,2020,category_1,0.879310344827586,0.881338742393509,0.383850716449945,0.896551724137931,0.862068965517241,0.266892433991041,99.7,4.37073597386259,365.713126234512,-1.1732779328096,13.0887813496996
BRA,Brazil,2021,category_1,0.810344827586207,0.808316430020284,0.31267553172731,0.793103448275862,0.827586206896552,0.265645057983073,99.5,4.5802428180644,386.636366902598,-1.30752198689727,12.8639218284561
CHN,China,2010,category_2,0.637931034482759,0.635902636916836,0.268650683088263,0.620689655172414,0.655172413793103,0.0898047775854916,99.7,33.0067159252043,425.239340293993,-1.25948744669656,50.7659729371959
CHN,China,2011,category_2,0.637931034482759,0.635902636916836,0.302433499186349,0.620689655172414,0.655172413793103,0.0882356221213574,99.9,31.0327689638504,444.64980620155,-4.70259009880276,48.1699714660645
CHN,China,2012,category_2,0.637931034482759,0.635902636916836,0.238586994509048,0.620689655172414,0.655172413793103,0.0866405009636757,99.9,29.8999555454476,457.333238442414,-1.99413353062352,46.8996887207031
CHN,China,2013,category_2,0.637931034482759,0.635902636916836,0.302904706615198,0.620689655172414,0.655172413793103,0.0853667732754321,100,27.4619519699988,458.516155476157,-2.34182641047647,45.5099983215332
CHN,China,2014,category_2,0.637931034482759,0.635902636916836,0.366457258562622,0.620689655172414,0.655172413793103,0.0842674179581007,100,25.4002396087542,477.579277718331,-2.17791851137383,44.2497444152832
CHN,China,2015,category_2,0.637931034482759,0.635902636916836,0.369930785016039,0.620689655172414,0.655172413793103,0.0832481556099894,100,24.1520090306192,465.6126796366,-3.05338845260966,42.6702156066895
CHN,China,2016,category_2,0.672413793103448,0.670385395537525,0.261579219118164,0.655172413793103,0.689655172413793,0.0817501206954943,100,23.3531664837206,480.055071748405,-3.0301879485996,41.1600761413574
CHN,China,2017,category_2,0.655172413793103,0.655172413793103,0.297866346840645,0.655172413793103,0.655172413793103,0.0799547347650612,100,22.7242584891955,460.457754805883,-2.85616882227626,39.7597312927246
CHN,China,2018,category_2,0.672413793103448,0.670385395537525,0.304241885376614,0.655172413793103,0.689655172413793,0.0787632952179988,100,21.8616442106502,442.553246565176,-2.75248143414517,38.4998016357422
CHN,China,2019,category_2,0.689655172413793,0.689655172413793,0.264512685202025,0.689655172413793,0.689655172413793,0.0773881633392411,100,20.8476339852186,427.750847233594,-2.83782096212918,37.2900848388672
CHN,China,2020,category_2,0.637931034482759,0.635902636916836,0.269737616480299,0.620689655172414,0.655172413793103,0.077106229182907,100,19.8435970122718,414.491446133711,-1.96767324733801,36.4765769733742
CHN,China,2021,category_2,0.637931034482759,0.63184584178499,0.249699996064222,0.586206896551724,0.689655172413793,0.0771510096575944,100,19.547953096344,406.234332124994,-3.24921027780871,35.278923034668
COD,"Congo, Dem. Rep.",2010,category_3,0.137931034482759,0.154158215010142,0.0854813920681388,0.275862068965517,0,0.132928765496068,13,71.5497136741387,0.823787579547948,2.53774882980848,60.608636291706
COD,"Congo, Dem. Rep.",2011,category_3,0.155172413793103,0.17342799188641,0.103226364087413,0.310344827586207,0,0.14532251414555,13.7,71.1274674669064,0.686965811965812,2.62862603554147,60.2150307174141
COD,"Congo, Dem. Rep.",2012,category_3,0.189655172413793,0.211967545638945,0.0543237436307627,0.379310344827586,0,0.156659065507652,15.4,70.7694380459892,0.456256535378181,2.68536176510327,59.8229614420849
COD,"Congo, Dem. Rep.",2013,category_3,0.172413793103448,0.192697768762677,0.121706158082294,0.344827586206897,0,0.155496689213577,15.2,70.0053488739836,0.870767925328808,2.74682910494931,59.4324736802842
COD,"Congo, Dem. Rep.",2014,category_3,0.172413793103448,0.192697768762677,0.173159287763886,0.344827586206897,0,0.157059831786038,13.5,69.0736523313088,1.63919116452818,2.7342515472912,59.0436126465775
COD,"Congo, Dem. Rep.",2015,category_3,0.155172413793103,0.17342799188641,0.159873433403601,0.310344827586207,0,0.153759713131268,16.6,68.451568136177,1.89390048154093,2.64431418859442,58.6564235555306
COD,"Congo, Dem. Rep.",2016,category_3,0.189655172413793,0.211967545638945,0.102610733163904,0.379310344827586,0,0.150816349173556,17.3,68.5345892537518,1.39093350181646,2.88167087872689,58.2709516217089
COD,"Congo, Dem. Rep.",2017,category_3,0.172413793103448,0.192697768762677,0.132014207361326,0.344827586206897,0,0.152049647855955,18,68.423368207984,1.59912393323767,2.99617572255966,57.8872420596783
COD,"Congo, Dem. Rep.",2018,category_3,0.189655172413793,0.211967545638945,0.131679483576066,0.379310344827586,0,0.149854003953729,18.7,68.0148788038124,1.91166444345635,2.6853458817866,57.5053400840042
COD,"Congo, Dem. Rep.",2019,category_3,0.172413793103448,0.192697768762677,0.112229297844046,0.344827586206897,0,0.147179951439653,19.1,67.7516488585298,2.41001461988304,2.50644180892777,57.1252909092524
COD,"Congo, Dem. Rep.",2020,category_3,0.189655172413793,0.211967545638945,0.125641097846933,0.379310344827586,0,0.142514848265754,20.1,69.499544306491,2.09027777777778,2.55681048476169,56.7471397499885
COD,"Congo, Dem. Rep.",2021,category_3,0.189655172413793,0.211967545638945,0.113778734536926,0.379310344827586,0,0.138220180727716,20.8,70.2334896262574,2.08655868520548,2.57274712321097,56.3709318207782
COL,Colombia,2010,unclassified,0.0517241379310344,0.0537525354969574,0.039191466997742,0.0689655172413793,0.0344827586206896,0.0343710841642842,96.8,6.07044711290745,546.941772332843,0.592337757291157,23.2767024327881
COL,Colombia,2011,unclassified,0.0517241379310344,0.0537525354969574,0.0487737122345662,0.0689655172413793,0.0344827586206896,0.0355134049530338,96.7,6.26362777968827,575.926556143351,0.573015222204867,23.160996386794
COL,Colombia,2012,unclassified,0.0517241379310344,0.0537525354969574,0.0390186873942885,0.0689655172413793,0.0344827586206896,0.0348307948606839,97,6.55853973638495,581.943430897597,0.55629919725716,23.057788796735
COL,Colombia,2013,unclassified,0.0517241379310344,0.0537525354969574,0.0460866684789087,0.0689655172413793,0.0344827586206896,0.0318588631757471,97.8,6.10918384822764,612.007315329751,0.560287721989616,22.9684011810078
COL,Colombia,2014,unclassified,0.0517241379310344,0.0537525354969574,0.0719288393148454,0.0689655172413793,0.0344827586206896,0.0331803879655012,97.8,5.90873619474174,699.090455445391,0.56893881587149,22.8941550580091
COL,Colombia,2015,unclassified,0.0517241379310344,0.0537525354969574,0.0439078490311547,0.0689655172413793,0.0344827586206896,0.0332165423247294,98.2,6.18416201418965,667.506741213668,0.61222451935783,22.8363719461354
COL,Colombia,2016,unclassified,0.0689655172413793,0.0689655172413793,0.0335986076453417,0.0689655172413793,0.0689655172413793,0.0354497090825505,98.4,6.18932820090885,646.144908024638,0.815240652958438,22.7963733637834
